Binomial.1.2,Order.1.2,Family.1.2,Genus.1.2,Species.1.2,,1700 Matched Species,FSSB,MSSB,SSB,,Total Species,SSB Data Present,Percent Covered
Allactaga_balikunica,Rodentia,Dipodidae,Allactaga,balikunica,,,,,,,1590,331,20.81761006
Allactaga_bullata,Rodentia,Dipodidae,Allactaga,bullata,,Y,0,0,0,,,,
Allactaga_elater,Rodentia,Dipodidae,Allactaga,elater,,Y,0,0,0,,,,
Allactaga_euphratica,Rodentia,Dipodidae,Allactaga,euphratica,,Y,0,0,0,,,,
Allactaga_firouzi,Rodentia,Dipodidae,Allactaga,firouzi,,,,,,,,,
Allactaga_hotsoni,Rodentia,Dipodidae,Allactaga,hotsoni,,,,,,,,,
Allactaga_major,Rodentia,Dipodidae,Allactaga,major,,,,,,,,,
Allactaga_severtzovi,Rodentia,Dipodidae,Allactaga,severtzovi,,,,,,,,,
Allactaga_sibirica,Rodentia,Dipodidae,Allactaga,sibirica,,Y,0,0,0,,,,
Allactaga_tetradactyla,Rodentia,Dipodidae,Allactaga,tetradactyla,,,,,,,,,
Allactaga_vinogradovi,Rodentia,Dipodidae,Allactaga,vinogradovi,,,,,,,,,
Allactaga_williamsi,Rodentia,Dipodidae,Allactaga,williamsi,,Y,0,0,0,,,,
Allactodipus_bobrinskii,Rodentia,Dipodidae,Allactodipus,bobrinskii,,,,,,,,,
Cardiocranius_paradoxus,Rodentia,Dipodidae,Cardiocranius,paradoxus,,Y,0,0,0,,,,
Dipus_sagitta,Rodentia,Dipodidae,Dipus,sagitta,,Y,0,0,0,,,,
Eozapus_setchuanus,Rodentia,Dipodidae,Eozapus,setchuanus,,,,,,,,,
Eremodipus_lichtensteini,Rodentia,Dipodidae,Eremodipus,lichtensteini,,,,,,,,,
Euchoreutes_naso,Rodentia,Dipodidae,Euchoreutes,naso,,Y,0,0,0,,,,
Jaculus_blanfordi,Rodentia,Dipodidae,Jaculus,blanfordi,,,,,,,,,
Jaculus_jaculus,Rodentia,Dipodidae,Jaculus,jaculus,,Y,0,0,0,,,,
Jaculus_orientalis,Rodentia,Dipodidae,Jaculus,orientalis,,,,,,,,,
Jaculus_thaleri,Rodentia,Dipodidae,Jaculus,thaleri,,,,,,,,,
Napaeozapus_insignis,Rodentia,Dipodidae,Napaeozapus,insignis,,Y,0,0,0,,,,
Paradipus_ctenodactylus,Rodentia,Dipodidae,Paradipus,ctenodactylus,,,,,,,,,
Pygeretmus_platyurus,Rodentia,Dipodidae,Pygeretmus,platyurus,,,,,,,,,
Pygeretmus_pumilio,Rodentia,Dipodidae,Pygeretmus,pumilio,,Y,0,0,0,,,,
Pygeretmus_zhitkovi,Rodentia,Dipodidae,Pygeretmus,zhitkovi,,,,,,,,,
Salpingotulus_michaelis,Rodentia,Dipodidae,Salpingotulus,michaelis,,,,,,,,,
Salpingotus_crassicauda,Rodentia,Dipodidae,Salpingotus,crassicauda,,,,,,,,,
Salpingotus_heptneri,Rodentia,Dipodidae,Salpingotus,heptneri,,,,,,,,,
Salpingotus_kozlovi,Rodentia,Dipodidae,Salpingotus,kozlovi,,Y,0,0,0,,,,
Salpingotus_pallidus,Rodentia,Dipodidae,Salpingotus,pallidus,,,,,,,,,
Sicista_armenica,Rodentia,Dipodidae,Sicista,armenica,,,,,,,,,
Sicista_betulina,Rodentia,Dipodidae,Sicista,betulina,,,,,,,,,
Sicista_caucasica,Rodentia,Dipodidae,Sicista,caucasica,,,,,,,,,
Sicista_caudata,Rodentia,Dipodidae,Sicista,caudata,,,,,,,,,
Sicista_concolor,Rodentia,Dipodidae,Sicista,concolor,,,,,,,,,
Sicista_kazbegica,Rodentia,Dipodidae,Sicista,kazbegica,,,,,,,,,
Sicista_kluchorica,Rodentia,Dipodidae,Sicista,kluchorica,,,,,,,,,
Sicista_napaea,Rodentia,Dipodidae,Sicista,napaea,,,,,,,,,
Sicista_pseudonapaea,Rodentia,Dipodidae,Sicista,pseudonapaea,,,,,,,,,
Sicista_severtzovi,Rodentia,Dipodidae,Sicista,severtzovi,,,,,,,,,
Sicista_strandi,Rodentia,Dipodidae,Sicista,strandi,,,,,,,,,
Sicista_subtilis,Rodentia,Dipodidae,Sicista,subtilis,,,,,,,,,
Sicista_tianshanica,Rodentia,Dipodidae,Sicista,tianshanica,,,,,,,,,
Stylodipus_andrewsi,Rodentia,Dipodidae,Stylodipus,andrewsi,,,,,,,,,
Stylodipus_sungorus,Rodentia,Dipodidae,Stylodipus,sungorus,,,,,,,,,
Stylodipus_telum,Rodentia,Dipodidae,Stylodipus,telum,,,,,,,,,
Zapus_hudsonius,Rodentia,Dipodidae,Zapus,hudsonius,,Y,0,0,0,,,,
Zapus_princeps,Rodentia,Dipodidae,Zapus,princeps,,Y,0,0,0,,,,
Zapus_trinotatus,Rodentia,Dipodidae,Zapus,trinotatus,,Y,0,0,0,,,,
Calomys_boliviae,Rodentia,Calomyscidae,Calomys,boliviae,,,,,,,,,
Calomys_callidus,Rodentia,Calomyscidae,Calomys,callidus,,,,,,,,,
Calomys_callosus,Rodentia,Calomyscidae,Calomys,callosus,,Y,0,0,0,,,,
Calomys_expulsus,Rodentia,Calomyscidae,Calomys,expulsus,,Y,0,0,0,,,,
Calomys_fecundus,Rodentia,Calomyscidae,Calomys,fecundus,,,,,,,,,
Calomys_hummelincki,Rodentia,Calomyscidae,Calomys,hummelincki,,,,,,,,,
Calomys_laucha,Rodentia,Calomyscidae,Calomys,laucha,,Y,0,0,0,,,,
Calomys_lepidus,Rodentia,Calomyscidae,Calomys,lepidus,,,,,,,,,
Calomys_musculinus,Rodentia,Calomyscidae,Calomys,musculinus,,Y,0,0,0,,,,
Calomys_sorellus,Rodentia,Calomyscidae,Calomys,sorellus,,,,,,,,,
Calomys_tener,Rodentia,Calomyscidae,Calomys,tener,,Y,0,0,0,,,,
Calomys_tocantinsi,Rodentia,Calomyscidae,Calomys,tocantinsi,,Y,0,0,0,,,,
Calomys_venustus,Rodentia,Calomyscidae,Calomys,venustus,,,,,,,,,
Calomyscus_bailwardi,Rodentia,Calomyscidae,Calomyscus,bailwardi,,Y,0,0,0,,,,
Calomyscus_baluchi,Rodentia,Calomyscidae,Calomyscus,baluchi,,,,,,,,,
Calomyscus_elburzensis,Rodentia,Calomyscidae,Calomyscus,elburzensis,,,,,,,,,
Calomyscus_grandis,Rodentia,Calomyscidae,Calomyscus,grandis,,,,,,,,,
Calomyscus_hotsoni,Rodentia,Calomyscidae,Calomyscus,hotsoni,,,,,,,,,
Calomyscus_mystax,Rodentia,Calomyscidae,Calomyscus,mystax,,,,,,,,,
Calomyscus_tsolovi,Rodentia,Calomyscidae,Calomyscus,tsolovi,,,,,,,,,
Calomyscus_urartensis,Rodentia,Calomyscidae,Calomyscus,urartensis,,,,,,,,,
Abrawayaomys_ruschii,Rodentia,Cricetidae,Abrawayaomys,ruschii,,,,,,,,,
Abrothrix_andinus,Rodentia,Cricetidae,Abrothrix,andinus,,,,,,,,,
Abrothrix_illutea,Rodentia,Cricetidae,Abrothrix,illutea,,,,,,,,,
Abrothrix_jelskii,Rodentia,Cricetidae,Abrothrix,jelskii,,,,,,,,,
Abrothrix_lanosus,Rodentia,Cricetidae,Abrothrix,lanosus,,,,,,,,,
Abrothrix_longipilis,Rodentia,Cricetidae,Abrothrix,longipilis,,Y,0,0,0,,,,
Abrothrix_olivaceus,Rodentia,Cricetidae,Abrothrix,olivaceus,,Y,0,0,0,,,,
Abrothrix_sanborni,Rodentia,Cricetidae,Abrothrix,sanborni,,,,,,,,,
Aegialomys_galapagoensis,Rodentia,Cricetidae,Aegialomys,galapagoensis,,Y,0,0,0,,,,
Aegialomys_xanthaeolus,Rodentia,Cricetidae,Aegialomys,xanthaeolus,,,,,,,,,
Aepeomys_lugens,Rodentia,Cricetidae,Aepeomys,lugens,,,,,,,,,
Aepeomys_reigi,Rodentia,Cricetidae,Aepeomys,reigi,,,,,,,,,
Akodon_aerosus,Rodentia,Cricetidae,Akodon,aerosus,,,,,,,,,
Akodon_affinis,Rodentia,Cricetidae,Akodon,affinis,,,,,,,,,
Akodon_albiventer,Rodentia,Cricetidae,Akodon,albiventer,,,,,,,,,
Akodon_aliquantulus,Rodentia,Cricetidae,Akodon,aliquantulus,,Y,0,0,0,,,,
Akodon_azarae,Rodentia,Cricetidae,Akodon,azarae,,Y,0,0,0,,,,
Akodon_boliviensis,Rodentia,Cricetidae,Akodon,boliviensis,,,,,,,,,
Akodon_budini,Rodentia,Cricetidae,Akodon,budini,,,,,,,,,
Akodon_cursor,Rodentia,Cricetidae,Akodon,cursor,,Y,0,0,0,,,,
Akodon_dayi,Rodentia,Cricetidae,Akodon,dayi,,,,,,,,,
Akodon_dolores,Rodentia,Cricetidae,Akodon,dolores,,Y,0,0,0,,,,
Akodon_fumeus,Rodentia,Cricetidae,Akodon,fumeus,,,,,,,,,
Akodon_iniscatus,Rodentia,Cricetidae,Akodon,iniscatus,,Y,0,0,0,,,,
Akodon_juninensis,Rodentia,Cricetidae,Akodon,juninensis,,,,,,,,,
Akodon_kofordi,Rodentia,Cricetidae,Akodon,kofordi,,,,,,,,,
Akodon_leucolimnaeus,Rodentia,Cricetidae,Akodon,leucolimnaeus,,,,,,,,,
Akodon_lindberghi,Rodentia,Cricetidae,Akodon,lindberghi,,,,,,,,,
Akodon_lutescens,Rodentia,Cricetidae,Akodon,lutescens,,,,,,,,,
Akodon_mimus,Rodentia,Cricetidae,Akodon,mimus,,,,,,,,,
Akodon_molinae,Rodentia,Cricetidae,Akodon,molinae,,Y,0,0,0,,,,
Akodon_mollis,Rodentia,Cricetidae,Akodon,mollis,,,,,,,,,
Akodon_montensis,Rodentia,Cricetidae,Akodon,montensis,,,,,,,,,
Akodon_mystax,Rodentia,Cricetidae,Akodon,mystax,,,,,,,,,
Akodon_neocenus,Rodentia,Cricetidae,Akodon,neocenus,,,,,,,,,
Akodon_oenos,Rodentia,Cricetidae,Akodon,oenos,,,,,,,,,
Akodon_orophilus,Rodentia,Cricetidae,Akodon,orophilus,,,,,,,,,
Akodon_paranaensis,Rodentia,Cricetidae,Akodon,paranaensis,,,,,,,,,
Akodon_pervalens,Rodentia,Cricetidae,Akodon,pervalens,,,,,,,,,
Akodon_philipmyersi,Rodentia,Cricetidae,Akodon,philipmyersi,,,,,,,,,
Akodon_reigi,Rodentia,Cricetidae,Akodon,reigi,,,,,,,,,
Akodon_sanctipaulensis,Rodentia,Cricetidae,Akodon,sanctipaulensis,,,,,,,,,
Akodon_serrensis,Rodentia,Cricetidae,Akodon,serrensis,,,,,,,,,
Akodon_siberiae,Rodentia,Cricetidae,Akodon,siberiae,,,,,,,,,
Akodon_simulator,Rodentia,Cricetidae,Akodon,simulator,,Y,0,0,0,,,,
Akodon_spegazzinii,Rodentia,Cricetidae,Akodon,spegazzinii,,Y,0,0,0,,,,
Akodon_subfuscus,Rodentia,Cricetidae,Akodon,subfuscus,,,,,,,,,
Akodon_surdus,Rodentia,Cricetidae,Akodon,surdus,,,,,,,,,
Akodon_sylvanus,Rodentia,Cricetidae,Akodon,sylvanus,,,,,,,,,
Akodon_toba,Rodentia,Cricetidae,Akodon,toba,,,,,,,,,
Akodon_torques,Rodentia,Cricetidae,Akodon,torques,,,,,,,,,
Akodon_varius,Rodentia,Cricetidae,Akodon,varius,,,,,,,,,
Allocricetulus_curtatus,Rodentia,Cricetidae,Allocricetulus,curtatus,,,,,,,,,
Allocricetulus_eversmanni,Rodentia,Cricetidae,Allocricetulus,eversmanni,,,,,,,,,
Alticola_albicaudus,Rodentia,Cricetidae,Alticola,albicaudus,,,,,,,,,
Alticola_argentatus,Rodentia,Cricetidae,Alticola,argentatus,,,,,,,,,
Alticola_barakshin,Rodentia,Cricetidae,Alticola,barakshin,,,,,,,,,
Alticola_lemminus,Rodentia,Cricetidae,Alticola,lemminus,,,,,,,,,
Alticola_macrotis,Rodentia,Cricetidae,Alticola,macrotis,,,,,,,,,
Alticola_montosa,Rodentia,Cricetidae,Alticola,montosa,,,,,,,,,
Alticola_olchonensis,Rodentia,Cricetidae,Alticola,olchonensis,,,,,,,,,
Alticola_roylei,Rodentia,Cricetidae,Alticola,roylei,,Y,0,0,0,,,,
Alticola_semicanus,Rodentia,Cricetidae,Alticola,semicanus,,,,,,,,,
Alticola_stoliczkanus,Rodentia,Cricetidae,Alticola,stoliczkanus,,,,,,,,,
Alticola_strelzowi,Rodentia,Cricetidae,Alticola,strelzowi,,,,,,,,,
Alticola_tuvinicus,Rodentia,Cricetidae,Alticola,tuvinicus,,,,,,,,,
Amphinectomys_savamis,Rodentia,Cricetidae,Amphinectomys,savamis,,,,,,,,,
Andalgalomys_olrogi,Rodentia,Cricetidae,Andalgalomys,olrogi,,,,,,,,,
Andalgalomys_pearsoni,Rodentia,Cricetidae,Andalgalomys,pearsoni,,,,,,,,,
Andinomys_edax,Rodentia,Cricetidae,Andinomys,edax,,,,,,,,,
Anotomys_leander,Rodentia,Cricetidae,Anotomys,leander,,,,,,,,,
Antillomys_rayi,Rodentia,Cricetidae,Antillomys,rayi,,,,,,,,,
Arborimus_albipes,Rodentia,Cricetidae,Arborimus,albipes,,,,,,,,,
Arborimus_longicaudus,Rodentia,Cricetidae,Arborimus,longicaudus,,Y,0,0,0,,,,
Arborimus_pomo,Rodentia,Cricetidae,Arborimus,pomo,,,,,,,,,
Arvicola_amphibius,Rodentia,Cricetidae,Arvicola,amphibius,,Y,0,0,0,,,,
Arvicola_sapidus,Rodentia,Cricetidae,Arvicola,sapidus,,,,,,,,,
Arvicola_scherman,Rodentia,Cricetidae,Arvicola,scherman,,Y,0,0,0,,,,
Auliscomys_boliviensis,Rodentia,Cricetidae,Auliscomys,boliviensis,,,,,,,,,
Auliscomys_pictus,Rodentia,Cricetidae,Auliscomys,pictus,,Y,0,0,0,,,,
Auliscomys_sublimis,Rodentia,Cricetidae,Auliscomys,sublimis,,,,,,,,,
Baiomys_musculus,Rodentia,Cricetidae,Baiomys,musculus,,Y,0,0,0,,,,
Baiomys_taylori,Rodentia,Cricetidae,Baiomys,taylori,,Y,0,0,0,,,,
Bibimys_chacoensis,Rodentia,Cricetidae,Bibimys,chacoensis,,,,,,,,,
Bibimys_labiosus,Rodentia,Cricetidae,Bibimys,labiosus,,,,,,,,,
Bibimys_torresi,Rodentia,Cricetidae,Bibimys,torresi,,,,,,,,,
Blanfordimys_afghanus,Rodentia,Cricetidae,Blanfordimys,afghanus,,,,,,,,,
Blanfordimys_bucharensis,Rodentia,Cricetidae,Blanfordimys,bucharensis,,,,,,,,,
Blarinomys_breviceps,Rodentia,Cricetidae,Blarinomys,breviceps,,,,,,,,,
Brucepattersonius_albinasus,Rodentia,Cricetidae,Brucepattersonius,albinasus,,,,,,,,,
Brucepattersonius_griserufescens,Rodentia,Cricetidae,Brucepattersonius,griserufescens,,,,,,,,,
Brucepattersonius_guarani,Rodentia,Cricetidae,Brucepattersonius,guarani,,,,,,,,,
Brucepattersonius_igniventris,Rodentia,Cricetidae,Brucepattersonius,igniventris,,,,,,,,,
Brucepattersonius_iheringi,Rodentia,Cricetidae,Brucepattersonius,iheringi,,,,,,,,,
Brucepattersonius_misionensis,Rodentia,Cricetidae,Brucepattersonius,misionensis,,,,,,,,,
Brucepattersonius_paradisus,Rodentia,Cricetidae,Brucepattersonius,paradisus,,,,,,,,,
Brucepattersonius_soricinus,Rodentia,Cricetidae,Brucepattersonius,soricinus,,,,,,,,,
Cansumys_canus,Rodentia,Cricetidae,Cansumys,canus,,,,,,,,,
Caryomys_eva,Rodentia,Cricetidae,Caryomys,eva,,,,,,,,,
Caryomys_inez,Rodentia,Cricetidae,Caryomys,inez,,,,,,,,,
Cerradomys_andersoni,Rodentia,Cricetidae,Cerradomys,andersoni,,,,,,,,,
Cerradomys_maracajuensis,Rodentia,Cricetidae,Cerradomys,maracajuensis,,,,,,,,,
Cerradomys_marinhus,Rodentia,Cricetidae,Cerradomys,marinhus,,,,,,,,,
Cerradomys_scotti,Rodentia,Cricetidae,Cerradomys,scotti,,,,,,,,,
Cerradomys_subflavus,Rodentia,Cricetidae,Cerradomys,subflavus,,Y,0,0,0,,,,
Chelemys_delfini,Rodentia,Cricetidae,Chelemys,delfini,,,,,,,,,
Chelemys_macronyx,Rodentia,Cricetidae,Chelemys,macronyx,,Y,0,0,0,,,,
Chelemys_megalonyx,Rodentia,Cricetidae,Chelemys,megalonyx,,Y,0,0,0,,,,
Chibchanomys_orcesi,Rodentia,Cricetidae,Chibchanomys,orcesi,,,,,,,,,
Chibchanomys_trichotis,Rodentia,Cricetidae,Chibchanomys,trichotis,,,,,,,,,
Chilomys_instans,Rodentia,Cricetidae,Chilomys,instans,,,,,,,,,
Chinchillula_sahamae,Rodentia,Cricetidae,Chinchillula,sahamae,,,,,,,,,
Chionomys_gud,Rodentia,Cricetidae,Chionomys,gud,,,,,,,,,
Chionomys_nivalis,Rodentia,Cricetidae,Chionomys,nivalis,,Y,0,0,0,,,,
Chionomys_roberti,Rodentia,Cricetidae,Chionomys,roberti,,,,,,,,,
Cricetulus_alticola,Rodentia,Cricetidae,Cricetulus,alticola,,,,,,,,,
Cricetulus_barabensis,Rodentia,Cricetidae,Cricetulus,barabensis,,Y,0,0,0,,,,
Cricetulus_kamensis,Rodentia,Cricetidae,Cricetulus,kamensis,,,,,,,,,
Cricetulus_lama,Rodentia,Cricetidae,Cricetulus,lama,,,,,,,,,
Cricetulus_longicaudatus,Rodentia,Cricetidae,Cricetulus,longicaudatus,,,,,,,,,
Cricetulus_migratorius,Rodentia,Cricetidae,Cricetulus,migratorius,,Y,0,0,0,,,,
Cricetulus_sokolovi,Rodentia,Cricetidae,Cricetulus,sokolovi,,,,,,,,,
Cricetulus_tibetanus,Rodentia,Cricetidae,Cricetulus,tibetanus,,,,,,,,,
Cricetus_cricetus,Rodentia,Cricetidae,Cricetus,cricetus,,Y,0,0,0,,,,
Delomys_collinus,Rodentia,Cricetidae,Delomys,collinus,,,,,,,,,
Delomys_dorsalis,Rodentia,Cricetidae,Delomys,dorsalis,,,,,,,,,
Delomys_sublineatus,Rodentia,Cricetidae,Delomys,sublineatus,,,,,,,,,
Deltamys_kempi,Rodentia,Cricetidae,Deltamys,kempi,,,,,,,,,
Dicrostonyx_groenlandicus,Rodentia,Cricetidae,Dicrostonyx,groenlandicus,,Y,0,1,1,,,,
Dicrostonyx_hudsonius,Rodentia,Cricetidae,Dicrostonyx,hudsonius,,,,,,,,,
Dicrostonyx_nelsoni,Rodentia,Cricetidae,Dicrostonyx,nelsoni,,,,,,,,,
Dicrostonyx_nunatakensis,Rodentia,Cricetidae,Dicrostonyx,nunatakensis,,,,,,,,,
Dicrostonyx_richardsoni,Rodentia,Cricetidae,Dicrostonyx,richardsoni,,,,,,,,,
Dicrostonyx_torquatus,Rodentia,Cricetidae,Dicrostonyx,torquatus,,,,,,,,,
Dicrostonyx_unalascensis,Rodentia,Cricetidae,Dicrostonyx,unalascensis,,,,,,,,,
Dicrostonyx_vinogradovi,Rodentia,Cricetidae,Dicrostonyx,vinogradovi,,,,,,,,,
Dinaromys_bogdanovi,Rodentia,Cricetidae,Dinaromys,bogdanovi,,,,,,,,,
Eligmodontia_moreni,Rodentia,Cricetidae,Eligmodontia,moreni,,,,,,,,,
Eligmodontia_morgani,Rodentia,Cricetidae,Eligmodontia,morgani,,Y,0,0,0,,,,
Eligmodontia_puerulus,Rodentia,Cricetidae,Eligmodontia,puerulus,,Y,0,0,0,,,,
Eligmodontia_typus,Rodentia,Cricetidae,Eligmodontia,typus,,Y,0,0,0,,,,
Ellobius_alaicus,Rodentia,Cricetidae,Ellobius,alaicus,,,,,,,,,
Ellobius_fuscocapillus,Rodentia,Cricetidae,Ellobius,fuscocapillus,,Y,0,0,0,,,,
Ellobius_lutescens,Rodentia,Cricetidae,Ellobius,lutescens,,Y,0,0,0,,,,
Ellobius_talpinus,Rodentia,Cricetidae,Ellobius,talpinus,,Y,0,0,0,,,,
Ellobius_tancrei,Rodentia,Cricetidae,Ellobius,tancrei,,Y,0,0,0,,,,
Eolagurus_luteus,Rodentia,Cricetidae,Eolagurus,luteus,,,,,,,,,
Eolagurus_przewalskii,Rodentia,Cricetidae,Eolagurus,przewalskii,,,,,,,,,
Eothenomys_cachinus,Rodentia,Cricetidae,Eothenomys,cachinus,,,,,,,,,
Eothenomys_chinensis,Rodentia,Cricetidae,Eothenomys,chinensis,,,,,,,,,
Eothenomys_custos,Rodentia,Cricetidae,Eothenomys,custos,,,,,,,,,
Eothenomys_melanogaster,Rodentia,Cricetidae,Eothenomys,melanogaster,,,,,,,,,
Eothenomys_miletus,Rodentia,Cricetidae,Eothenomys,miletus,,,,,,,,,
Eothenomys_olitor,Rodentia,Cricetidae,Eothenomys,olitor,,,,,,,,,
Eothenomys_proditor,Rodentia,Cricetidae,Eothenomys,proditor,,,,,,,,,
Eothenomys_wardi,Rodentia,Cricetidae,Eothenomys,wardi,,,,,,,,,
Eremoryzomys_polius,Rodentia,Cricetidae,Eremoryzomys,polius,,,,,,,,,
Euneomys_chinchilloides,Rodentia,Cricetidae,Euneomys,chinchilloides,,Y,0,0,0,,,,
Euneomys_fossor,Rodentia,Cricetidae,Euneomys,fossor,,,,,,,,,
Euneomys_mordax,Rodentia,Cricetidae,Euneomys,mordax,,,,,,,,,
Euneomys_petersoni,Rodentia,Cricetidae,Euneomys,petersoni,,,,,,,,,
Euryoryzomys_emmonsae,Rodentia,Cricetidae,Euryoryzomys,emmonsae,,,,,,,,,
Euryoryzomys_lamia,Rodentia,Cricetidae,Euryoryzomys,lamia,,,,,,,,,
Euryoryzomys_legatus,Rodentia,Cricetidae,Euryoryzomys,legatus,,,,,,,,,
Euryoryzomys_macconnelli,Rodentia,Cricetidae,Euryoryzomys,macconnelli,,Y,0,0,0,,,,
Euryoryzomys_nitidus,Rodentia,Cricetidae,Euryoryzomys,nitidus,,,,,,,,,
Euryoryzomys_russatus,Rodentia,Cricetidae,Euryoryzomys,russatus,,,,,,,,,
Galenomys_garleppi,Rodentia,Cricetidae,Galenomys,garleppi,,,,,,,,,
Geoxus_valdivianus,Rodentia,Cricetidae,Geoxus,valdivianus,,Y,0,0,0,,,,
Graomys_centralis,Rodentia,Cricetidae,Graomys,centralis,,Y,0,0,0,,,,
Graomys_domorum,Rodentia,Cricetidae,Graomys,domorum,,,,,,,,,
Graomys_edithae,Rodentia,Cricetidae,Graomys,edithae,,,,,,,,,
Graomys_griseoflavus,Rodentia,Cricetidae,Graomys,griseoflavus,,Y,0,0,0,,,,
Habromys_chinanteco,Rodentia,Cricetidae,Habromys,chinanteco,,,,,,,,,
Habromys_delicatulus,Rodentia,Cricetidae,Habromys,delicatulus,,,,,,,,,
Habromys_ixtlani,Rodentia,Cricetidae,Habromys,ixtlani,,,,,,,,,
Habromys_lepturus,Rodentia,Cricetidae,Habromys,lepturus,,,,,,,,,
Habromys_lophurus,Rodentia,Cricetidae,Habromys,lophurus,,,,,,,,,
Habromys_schmidlyi,Rodentia,Cricetidae,Habromys,schmidlyi,,,,,,,,,
Habromys_simulatus,Rodentia,Cricetidae,Habromys,simulatus,,,,,,,,,
Handleyomys_alfaroi,Rodentia,Cricetidae,Handleyomys,alfaroi,,,,,,,,,
Handleyomys_chapmani,Rodentia,Cricetidae,Handleyomys,chapmani,,,,,,,,,
Handleyomys_fuscatus,Rodentia,Cricetidae,Handleyomys,fuscatus,,,,,,,,,
Handleyomys_intectus,Rodentia,Cricetidae,Handleyomys,intectus,,,,,,,,,
Handleyomys_melanotis,Rodentia,Cricetidae,Handleyomys,melanotis,,Y,0,0,0,,,,
Handleyomys_rhabdops,Rodentia,Cricetidae,Handleyomys,rhabdops,,,,,,,,,
Handleyomys_rostratus,Rodentia,Cricetidae,Handleyomys,rostratus,,,,,,,,,
Handleyomys_saturatior,Rodentia,Cricetidae,Handleyomys,saturatior,,,,,,,,,
Hodomys_alleni,Rodentia,Cricetidae,Hodomys,alleni,,,,,,,,,
Holochilus_brasiliensis,Rodentia,Cricetidae,Holochilus,brasiliensis,,Y,0,0,0,,,,
Holochilus_chacarius,Rodentia,Cricetidae,Holochilus,chacarius,,Y,0,0,0,,,,
Holochilus_sciureus,Rodentia,Cricetidae,Holochilus,sciureus,,Y,0,0,0,,,,
Hylaeamys_acritus,Rodentia,Cricetidae,Hylaeamys,acritus,,,,,,,,,
Hylaeamys_laticeps,Rodentia,Cricetidae,Hylaeamys,laticeps,,,,,,,,,
Hylaeamys_megacephalus,Rodentia,Cricetidae,Hylaeamys,megacephalus,,Y,0,0,0,,,,
Hylaeamys_oniscus,Rodentia,Cricetidae,Hylaeamys,oniscus,,,,,,,,,
Hylaeamys_perenensis,Rodentia,Cricetidae,Hylaeamys,perenensis,,,,,,,,,
Hylaeamys_tatei,Rodentia,Cricetidae,Hylaeamys,tatei,,,,,,,,,
Hylaeamys_yunganus,Rodentia,Cricetidae,Hylaeamys,yunganus,,,,,,,,,
Hyperacrius_fertilis,Rodentia,Cricetidae,Hyperacrius,fertilis,,,,,,,,,
Hyperacrius_wynnei,Rodentia,Cricetidae,Hyperacrius,wynnei,,,,,,,,,
Ichthyomys_hydrobates,Rodentia,Cricetidae,Ichthyomys,hydrobates,,,,,,,,,
Ichthyomys_pittieri,Rodentia,Cricetidae,Ichthyomys,pittieri,,,,,,,,,
Ichthyomys_stolzmanni,Rodentia,Cricetidae,Ichthyomys,stolzmanni,,,,,,,,,
Ichthyomys_tweedii,Rodentia,Cricetidae,Ichthyomys,tweedii,,,,,,,,,
Irenomys_tarsalis,Rodentia,Cricetidae,Irenomys,tarsalis,,Y,0,0,0,,,,
Isthmomys_flavidus,Rodentia,Cricetidae,Isthmomys,flavidus,,,,,,,,,
Isthmomys_pirrensis,Rodentia,Cricetidae,Isthmomys,pirrensis,,,,,,,,,
Juliomys_pictipes,Rodentia,Cricetidae,Juliomys,pictipes,,,,,,,,,
Juliomys_rimofrons,Rodentia,Cricetidae,Juliomys,rimofrons,,,,,,,,,
Juscelinomys_candango,Rodentia,Cricetidae,Juscelinomys,candango,,,,,,,,,
Juscelinomys_guaporensis,Rodentia,Cricetidae,Juscelinomys,guaporensis,,,,,,,,,
Juscelinomys_huanchacae,Rodentia,Cricetidae,Juscelinomys,huanchacae,,,,,,,,,
Kunsia_fronto,Rodentia,Cricetidae,Kunsia,fronto,,,,,,,,,
Kunsia_tomentosus,Rodentia,Cricetidae,Kunsia,tomentosus,,,,,,,,,
Lagurus_lagurus,Rodentia,Cricetidae,Lagurus,lagurus,,Y,0,0,0,,,,
Lasiopodomys_brandtii,Rodentia,Cricetidae,Lasiopodomys,brandtii,,Y,0,0,0,,,,
Lasiopodomys_fuscus,Rodentia,Cricetidae,Lasiopodomys,fuscus,,,,,,,,,
Lasiopodomys_mandarinus,Rodentia,Cricetidae,Lasiopodomys,mandarinus,,Y,0,0,0,,,,
Lemmiscus_curtatus,Rodentia,Cricetidae,Lemmiscus,curtatus,,Y,0,0,0,,,,
Lemmus_amurensis,Rodentia,Cricetidae,Lemmus,amurensis,,,,,,,,,
Lemmus_lemmus,Rodentia,Cricetidae,Lemmus,lemmus,,Y,0,0,0,,,,
Lemmus_portenkoi,Rodentia,Cricetidae,Lemmus,portenkoi,,,,,,,,,
Lemmus_sibiricus,Rodentia,Cricetidae,Lemmus,sibiricus,,,,,,,,,
Lemmus_trimucronatus,Rodentia,Cricetidae,Lemmus,trimucronatus,,Y,0,0,0,,,,
Lenoxus_apicalis,Rodentia,Cricetidae,Lenoxus,apicalis,,,,,,,,,
Lophiomys_imhausi,Rodentia,Cricetidae,Lophiomys,imhausi,,Y,0,0,0,,,,
Loxodontomys_micropus,Rodentia,Cricetidae,Loxodontomys,micropus,,Y,0,0,0,,,,
